year,stateFull,state,Affiliation
2020,ARKANSAS,AR,REPUBLICAN
2020,CALIFORNIA,CA,DEMOCRAT
2020,COLORADO,CO,DEMOCRAT
2020,CONNECTICUT,CT,DEMOCRAT
2020,DELAWARE,DE,DEMOCRAT
2020,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2020,FLORIDA,FL,DIVIDED
2020,GEORGIA,GA,DIVIDED
2020,HAWAII,HI,DEMOCRAT
2020,IDAHO,ID,REPUBLICAN
2020,ILLINOIS,IL,DEMOCRAT
2020,INDIANA,IN,REPUBLICAN
2020,IOWA,IA,REPUBLICAN
2020,KANSAS,KS,REPUBLICAN
2020,KENTUCKY,KY,REPUBLICAN
2020,LOUISIANA,LA,REPUBLICAN
2020,MAINE,ME,DEMOCRAT
2020,MARYLAND,MD,DEMOCRAT
2020,MASSACHUSETTS,MA,DEMOCRAT
2020,MICHIGAN,MI,DIVIDED
2020,MINNESOTA,MN,DEMOCRAT
2020,MISSISSIPPI,MS,REPUBLICAN
2020,MISSOURI,MO,REPUBLICAN
2020,MONTANA,MT,REPUBLICAN
2020,NEBRASKA,NE,REPUBLICAN
2020,NEVADA,NV,DIVIDED
2020,NEW HAMPSHIRE,NH,DEMOCRAT
2020,NEW JERSEY,NJ,DEMOCRAT
2020,NEW MEXICO,NM,DEMOCRAT
2020,NEW YORK,NY,DEMOCRAT
2020,NORTH CAROLINA,NC,DIVIDED
2020,NORTH DAKOTA,ND,REPUBLICAN
2020,OHIO,OH,REPUBLICAN
2020,OKLAHOMA,OK,REPUBLICAN
2020,OREGON,OR,DEMOCRAT
2020,PENNSYLVANIA,PA,DIVIDED
2020,RHODE ISLAND,RI,DEMOCRAT
2020,SOUTH CAROLINA,SC,REPUBLICAN
2020,SOUTH DAKOTA,SD,REPUBLICAN
2020,TENNESSEE,TN,REPUBLICAN
2020,TEXAS,TX,REPUBLICAN
2020,UTAH,UT,REPUBLICAN
2020,VERMONT,VT,DEMOCRAT
2020,VIRGINIA,VA,DEMOCRAT
2020,WASHINGTON,WA,DEMOCRAT
2020,WEST VIRGINIA,WV,REPUBLICAN
2020,WISCONSIN,WI,DIVIDED
2020,WYOMING,WY,REPUBLICAN
1976,ALABAMA,AL,DEMOCRAT
1976,ALASKA,AK,REPUBLICAN
1976,ARIZONA,AZ,REPUBLICAN
